Date,Open,High,Low,Close,Adj Close,Volume
2023-10-26,217.550003,217.800003,211.300003,212.449997,212.449997,10920565
2023-10-27,214.000000,216.550003,213.050003,214.399994,214.399994,5005707
2023-10-30,215.800003,215.850006,211.199997,214.649994,214.649994,5337538
2023-10-31,216.000000,218.500000,213.699997,214.149994,214.149994,4547584
2023-11-01,215.500000,216.000000,213.000000,213.500000,213.500000,4922710
2023-11-02,215.949997,217.250000,214.100006,214.949997,214.949997,4296465
2023-11-03,216.800003,218.949997,216.250000,217.399994,217.399994,3894941
2023-11-06,219.850006,219.850006,217.399994,217.850006,217.850006,5305052
2023-11-07,218.550003,218.949997,215.649994,216.100006,216.100006,4255972
2023-11-08,217.500000,218.800003,216.550003,217.449997,217.449997,5624531
2023-11-09,218.050003,218.850006,217.000000,217.199997,217.199997,2100287
2023-11-10,217.199997,218.250000,214.600006,217.750000,217.750000,2769494
2023-11-13,219.000000,219.750000,217.250000,219.449997,219.449997,4084358
2023-11-15,221.500000,224.300003,220.949997,222.100006,222.100006,6063087
2023-11-16,221.949997,224.500000,221.000000,222.199997,222.199997,5042753
2023-11-17,219.449997,220.750000,215.750000,217.000000,217.000000,8110801
2023-11-20,217.449997,217.449997,213.600006,213.949997,213.949997,7344081
2023-11-21,214.800003,215.600006,213.250000,213.899994,213.899994,5641541
2023-11-22,215.000000,215.850006,211.399994,212.199997,212.199997,8961184
2023-11-23,213.000000,213.649994,212.000000,212.399994,212.399994,3241986
2023-11-24,213.000000,214.949997,212.000000,212.350006,212.350006,14344145
2023-11-28,214.399994,218.500000,212.800003,216.850006,216.850006,10154652
2023-11-29,217.800003,223.250000,216.750000,222.350006,222.350006,17186266
2023-11-30,223.500000,230.399994,223.000000,226.100006,226.100006,21581773
2023-12-01,228.100006,229.899994,225.550003,226.250000,226.250000,6673816
2023-12-04,230.500000,234.850006,229.250000,234.300003,234.300003,14109397
2023-12-05,235.100006,240.000000,230.699997,238.949997,238.949997,15470405
2023-12-06,240.000000,240.899994,234.750000,237.449997,237.449997,9831509
2023-12-07,237.449997,238.850006,234.649994,238.149994,238.149994,4458183
2023-12-08,240.000000,240.000000,233.750000,237.050003,237.050003,6753600
2023-12-11,237.750000,243.449997,237.000000,237.949997,237.949997,10984327
2023-12-12,237.899994,244.550003,235.500000,236.649994,236.649994,15231524
2023-12-13,237.800003,241.750000,235.500000,239.949997,239.949997,13736774
2023-12-14,243.000000,245.399994,241.250000,243.050003,243.050003,14242089
2023-12-15,244.500000,255.699997,244.500000,253.800003,253.800003,30516702
2023-12-18,252.550003,256.100006,250.000000,253.500000,253.500000,9794116
2023-12-19,253.500000,253.699997,246.000000,248.550003,248.550003,8254143
2023-12-20,250.050003,250.949997,237.449997,239.300003,239.300003,10860270
2023-12-21,237.449997,241.000000,232.949997,238.250000,238.250000,13978534
2023-12-22,238.500000,242.300003,234.100006,234.800003,234.800003,10132889
2023-12-26,236.000000,237.149994,233.100006,234.949997,234.949997,6304183
2023-12-27,235.850006,240.699997,235.850006,238.000000,238.000000,8058617
2023-12-28,239.550003,240.699997,234.899994,239.350006,239.350006,12591185
2023-12-29,240.699997,243.000000,238.100006,241.399994,241.399994,4590031
2024-01-01,244.000000,245.199997,242.149994,244.100006,244.100006,6663982
2024-01-02,245.649994,247.000000,239.550003,242.350006,242.350006,8517423
2024-01-03,242.350006,258.149994,241.000000,253.899994,253.899994,33106055
2024-01-04,255.600006,263.100006,252.699997,260.799988,260.799988,20351416
2024-01-05,262.799988,262.950012,248.050003,251.699997,251.699997,26254869
2024-01-08,252.000000,252.000000,230.949997,233.100006,233.100006,57413766
2024-01-09,240.000000,240.500000,232.899994,234.899994,234.899994,23864692
2024-01-10,234.899994,235.500000,226.600006,231.050003,231.050003,13786491
2024-01-11,232.899994,236.250000,232.000000,232.800003,232.800003,10068953
2024-01-12,234.899994,235.800003,229.500000,230.149994,230.149994,9089295
2024-01-15,231.500000,233.500000,230.000000,231.000000,231.000000,7817434
2024-01-16,231.000000,233.600006,228.199997,229.750000,229.750000,7421276
2024-01-17,227.149994,229.350006,223.250000,228.300003,228.300003,17410957
2024-01-18,227.500000,230.850006,224.100006,227.600006,227.600006,9142872
2024-01-19,229.699997,231.199997,225.649994,226.199997,226.199997,7131175
2024-01-22,226.199997,226.199997,226.199997,226.199997,226.199997,0
2024-01-23,231.500000,232.199997,222.199997,223.699997,223.699997,12418558
2024-01-24,224.000000,226.699997,220.250000,224.399994,224.399994,11443782
