Date,Open,High,Low,Close,Adj Close,Volume
2023-10-26,337.600006,338.950012,331.450012,335.000000,319.887207,3871939
2023-10-27,335.000000,338.250000,334.000000,334.950012,319.839478,1498044
2023-10-30,338.000000,348.899994,337.100006,346.899994,331.250366,10936594
2023-10-31,348.350006,353.950012,344.649994,349.250000,333.494354,5336593
2023-11-01,350.549988,358.750000,350.549988,356.899994,340.799225,6964890
2023-11-02,360.950012,362.000000,357.250000,360.549988,344.284576,5065216
2023-11-03,361.149994,363.700012,360.200012,361.500000,345.191742,2813950
2023-11-06,362.799988,369.149994,361.350006,366.250000,349.727448,4536010
2023-11-07,366.799988,373.649994,366.200012,372.799988,355.981934,5351088
2023-11-08,375.450012,387.899994,374.049988,384.200012,366.867676,12010456
2023-11-09,385.100006,390.649994,382.799988,383.549988,366.246979,6421948
2023-11-10,381.799988,386.100006,380.500000,384.049988,366.724426,2466243
2023-11-13,383.500000,388.700012,383.500000,387.100006,369.636841,2419453
2023-11-15,388.000000,393.399994,387.149994,392.549988,374.840973,5633125
2023-11-16,394.000000,401.299988,393.000000,398.649994,380.665771,7708086
2023-11-17,400.000000,407.100006,389.250000,390.250000,372.644745,8190348
2023-11-20,390.649994,393.399994,387.450012,392.000000,374.315796,2253441
2023-11-21,392.000000,393.200012,386.600006,388.000000,370.496246,2238607
2023-11-22,392.000000,402.799988,391.100006,402.100006,383.960144,12865332
2023-11-23,403.549988,413.500000,400.649994,411.299988,392.745087,8119546
2023-11-24,413.000000,413.000000,407.000000,410.600006,392.076691,5487773
2023-11-28,414.049988,425.899994,413.100006,424.500000,405.349609,11593428
2023-11-29,426.000000,434.450012,418.700012,428.649994,409.312408,12604406
2023-11-30,434.500000,438.750000,429.049988,435.700012,416.044373,16360654
2023-12-01,440.000000,442.399994,433.399994,438.000000,418.240601,9639421
2023-12-04,445.000000,464.799988,444.000000,461.500000,440.680450,20741397
2023-12-05,470.049988,476.450012,465.000000,472.200012,450.897766,19188032
2023-12-06,481.000000,482.500000,468.299988,472.850006,451.518433,13704413
2023-12-07,477.000000,479.000000,471.500000,474.700012,453.284973,11925282
2023-12-08,476.899994,477.450012,465.799988,470.450012,449.226715,9470239
2023-12-11,474.850006,474.850006,456.549988,465.500000,444.500000,13846554
2023-12-12,445.500000,451.450012,445.500000,447.549988,447.549988,9970160
2023-12-13,449.500000,454.350006,445.950012,447.500000,447.500000,13332009
2023-12-14,449.950012,449.950012,442.049988,445.700012,445.700012,6277784
2023-12-15,445.000000,453.450012,442.200012,449.000000,449.000000,11039574
2023-12-18,449.000000,450.250000,444.100006,447.250000,447.250000,8415532
2023-12-19,447.250000,451.500000,445.049988,449.750000,449.750000,6322336
2023-12-20,453.399994,455.350006,438.350006,439.450012,439.450012,8673989
2023-12-21,434.899994,450.450012,432.450012,449.549988,449.549988,9277207
2023-12-22,449.700012,453.350006,445.049988,446.649994,446.649994,5779632
2023-12-26,448.000000,456.500000,444.500000,451.600006,451.600006,11488225
2023-12-27,453.950012,456.399994,448.299988,454.700012,454.700012,6199044
2023-12-28,456.000000,470.850006,454.750000,465.799988,465.799988,22591668
2023-12-29,454.500000,458.000000,448.649994,450.649994,450.649994,8544220
2024-01-01,459.399994,459.399994,450.700012,452.049988,452.049988,3503144
2024-01-02,452.049988,459.399994,448.100006,456.250000,456.250000,4729409
2024-01-03,459.950012,465.299988,455.049988,461.049988,461.049988,7529442
2024-01-04,456.799988,457.500000,451.000000,452.649994,452.649994,8952458
2024-01-05,455.899994,459.649994,451.250000,453.100006,453.100006,4040234
2024-01-08,456.950012,464.299988,451.450012,455.000000,455.000000,9116305
2024-01-09,460.000000,463.750000,455.649994,459.950012,459.950012,6150645
2024-01-10,455.200012,456.149994,445.100006,451.250000,451.250000,7630996
2024-01-11,453.899994,461.200012,453.200012,458.700012,458.700012,7875626
2024-01-12,459.000000,461.100006,455.100006,458.250000,458.250000,5995406
2024-01-15,460.000000,463.500000,455.649994,459.950012,459.950012,5204191
2024-01-16,461.000000,479.799988,460.500000,472.850006,472.850006,21184750
2024-01-17,472.000000,477.149994,466.149994,471.649994,471.649994,11214642
2024-01-18,467.000000,480.899994,461.000000,473.200012,473.200012,9901151
2024-01-19,476.000000,485.000000,474.049988,480.950012,480.950012,6486928
2024-01-22,480.950012,480.950012,480.950012,480.950012,480.950012,0
2024-01-23,488.500000,488.500000,460.100006,463.049988,463.049988,9209775
2024-01-24,465.000000,478.500000,463.299988,477.149994,477.149994,7580656
2024-01-25,477.200012,488.350006,471.000000,474.399994,474.399994,10673337
