Date,Open,High,Low,Close,Adj Close,Volume
2023-10-26,208.000000,217.000000,206.449997,215.850006,215.850006,23734030
2023-10-27,219.600006,225.600006,216.449997,222.899994,222.899994,20929440
2023-10-30,224.500000,226.199997,218.149994,219.000000,219.000000,13508660
2023-10-31,222.000000,223.199997,215.550003,219.000000,219.000000,17538200
2023-11-01,216.000000,222.050003,215.300003,217.649994,217.649994,15862620
2023-11-02,218.500000,219.600006,216.699997,217.350006,217.350006,13261560
2023-11-03,219.000000,220.649994,217.649994,219.050003,219.050003,8569115
2023-11-06,220.399994,220.699997,216.750000,217.149994,217.149994,11494090
2023-11-07,217.899994,218.800003,216.500000,217.199997,217.199997,7558170
2023-11-08,217.800003,217.899994,213.800003,214.149994,214.149994,17101600
2023-11-09,214.850006,217.699997,214.850006,215.149994,215.149994,17250090
2023-11-10,214.850006,222.949997,214.350006,221.949997,221.949997,18467210
2023-11-13,223.000000,225.899994,222.250000,224.750000,224.750000,12086990
2023-11-15,226.949997,227.350006,223.199997,224.149994,224.149994,15782000
2023-11-16,225.500000,229.300003,223.850006,226.949997,226.949997,17856030
2023-11-17,226.000000,226.000000,220.399994,220.800003,220.800003,19607100
2023-11-20,221.750000,221.750000,215.050003,215.500000,215.500000,20403360
2023-11-21,217.399994,223.149994,216.550003,220.199997,220.199997,25625460
2023-11-22,219.699997,223.399994,218.500000,221.899994,221.899994,15012270
2023-11-23,222.500000,223.250000,219.600006,221.250000,221.250000,11267950
2023-11-24,221.899994,227.850006,220.500000,226.500000,226.500000,31420610
2023-11-28,228.050003,232.300003,225.300003,226.350006,226.350006,25668670
2023-11-29,229.350006,229.350006,224.199997,226.050003,226.050003,14007700
2023-11-30,226.050003,231.800003,222.649994,229.399994,229.399994,45432210
2023-12-01,231.449997,231.600006,224.850006,225.500000,225.500000,17634910
2023-12-04,229.750000,232.000000,227.899994,230.100006,230.100006,21079660
2023-12-05,231.000000,246.000000,229.399994,242.500000,242.500000,60847480
2023-12-06,244.899994,251.600006,243.000000,247.050003,247.050003,45262700
2023-12-07,249.000000,250.699997,245.100006,249.149994,249.149994,23000400
2023-12-08,249.000000,250.500000,240.000000,244.250000,244.250000,19056790
2023-12-11,244.850006,247.000000,243.050003,245.600006,245.600006,8875953
2023-12-12,246.050003,247.300003,238.300003,240.550003,240.550003,12749590
2023-12-13,242.000000,242.399994,235.350006,239.750000,239.750000,13774940
2023-12-14,242.899994,243.750000,238.050003,238.600006,238.600006,14352890
2023-12-15,240.000000,242.600006,236.399994,237.649994,237.649994,26225280
2023-12-18,241.000000,242.199997,237.600006,240.149994,240.149994,17001750
2023-12-19,240.300003,240.800003,237.899994,238.300003,238.300003,13053450
2023-12-20,238.899994,248.199997,230.050003,232.100006,232.100006,44628840
2023-12-21,230.850006,238.699997,229.000000,238.000000,238.000000,17015300
2023-12-22,238.750000,239.750000,234.600006,236.750000,236.750000,10871310
2023-12-26,237.250000,238.000000,233.699997,234.699997,234.699997,11865880
2023-12-27,236.000000,237.250000,233.000000,234.000000,234.000000,12430460
2023-12-28,235.000000,236.350006,232.550003,233.350006,233.350006,10533950
2023-12-29,233.899994,235.199997,232.250000,232.949997,232.949997,11614920
2024-01-01,233.350006,236.399994,233.300003,234.550003,234.550003,7919961
2024-01-02,235.000000,236.000000,232.000000,235.350006,235.350006,9216592
2024-01-03,235.399994,236.000000,233.550003,234.500000,234.500000,9864949
2024-01-04,238.850006,243.250000,236.800003,241.399994,241.399994,32808930
2024-01-05,244.500000,248.199997,241.500000,243.649994,243.649994,29722060
2024-01-08,246.850006,246.899994,240.300003,242.399994,242.399994,21118010
2024-01-09,243.899994,244.649994,241.500000,242.149994,242.149994,10689240
2024-01-10,242.000000,242.300003,239.300003,240.949997,240.949997,11798540
2024-01-11,243.000000,253.399994,240.649994,251.550003,251.550003,45792810
2024-01-12,255.000000,259.350006,253.699997,255.050003,255.050003,46763290
2024-01-15,258.000000,269.700012,257.049988,266.750000,266.750000,68617370
2024-01-16,254.100006,258.000000,246.500000,248.850006,248.850006,70456850
2024-01-17,247.000000,247.000000,242.149994,242.550003,242.550003,28318080
2024-01-18,null,null,null,null,null,null
2024-01-19,245.850006,249.149994,245.399994,246.250000,246.250000,16563070
2024-01-22,null,null,null,null,null,null
2024-01-23,247.850006,248.050003,240.000000,240.399994,240.399994,13184700
2024-01-24,240.000000,241.550003,237.100006,239.750000,239.750000,15276800
2024-01-25,240.399994,242.649994,238.899994,239.850006,239.850006,12352490
